room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay
Entire home/apt,CENTRE,BELTLINE,4,4.5,4,2,79,3
Private room,CENTRE,CAPITOL HILL,21,4.5,6,1,24,1
Entire home/apt,CENTRE,BELTLINE,192,4.5,4,2,100,1
Entire home/apt,NORTHWEST,EDGEMONT,36,4.5,8,2,128,1
Private room,WEST,RUTLAND PARK,12,4.5,2,1,21,1
Private room,CENTRE,TUXEDO PARK,12,4,2,1,44,1
Private room,NORTHWEST,MONTGOMERY,3,4,1,1,32,2
Private room,NORTHWEST,CHARLESWOOD,2,,2,1,28,1
Entire home/apt,CENTRE,BELTLINE,0,,2,1,100,2
Entire home/apt,CENTRE,BELTLINE,3,3,2,1,80,1
Entire home/apt,NORTH,SAGE HILL,65,4.5,4,1,65,1
Private room,CENTRE,TUXEDO PARK,2,,2,1,32,1
Entire home/apt,CENTRE,HILLHURST,0,,2,1,160,5
Entire home/apt,CENTRE,BELTLINE,7,4.5,3,1,64,1
Private room,NORTH,THORNCLIFFE,4,4.5,2,1,39,1
Shared room,CENTRE,TUXEDO PARK,0,,1,1,26,1
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,0,,2,1,240,1
Entire home/apt,CENTRE,CHINATOWN,9,4.5,5,2,151,3
Private room,SOUTH,KINGSLAND,2,,2,1,44,1
Private room,NORTH,HARVEST HILLS,0,,2,1,32,2
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,3,3.5,2,1,57,3
Entire home/apt,CENTRE,BANKVIEW,5,5,3,0,58,
Private room,SOUTH,DEER RIDGE,36,5,2,1,31,1
Entire home/apt,NORTHWEST,HAWKWOOD,12,5,3,2,95,2
Private room,SOUTHEAST,AUBURN BAY,0,,2,1,36,1
Entire home/apt,CENTRE,INGLEWOOD,30,4.5,3,2,41,2
Entire home/apt,CENTRE,HILLHURST,7,4.5,3,1,68,3
Entire home/apt,CENTRE,BELTLINE,36,4.5,4,1,63,1
Private room,CENTRE,WEST HILLHURST,7,4.5,2,1,32,1
Entire home/apt,CENTRE,BELTLINE,2,,2,1,72,2
Private room,CENTRE,WINDSOR PARK,1,,2,1,25,1
Entire home/apt,CENTRE,RENFREW,1,,4,2,160,1
Entire home/apt,CENTRE,CRESCENT HEIGHTS,11,5,5,2,52,1
Entire home/apt,CENTRE,BELTLINE,0,,4,1,96,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,100,1
Entire home/apt,NORTHWEST,CITADEL,1,,6,3,121,4
Private room,CENTRE,BANKVIEW,0,,2,1,37,1
Private room,CENTRE,BELTLINE,0,,2,1,97,2
Private room,CENTRE,UPPER MOUNT ROYAL,1,,2,1,103,5
Entire home/apt,CENTRE,BELTLINE,12,5,4,2,96,1
Entire home/apt,NORTHWEST,CITADEL,3,3.5,6,2,92,4
Entire home/apt,CENTRE,BANFF TRAIL,4,5,4,2,72,2
Private room,CENTRE,SUNALTA,21,5,2,1,42,1
Private room,NORTHEAST,REDSTONE,0,,1,1,32,1
Entire home/apt,NORTH,NORTH HAVEN,3,4.5,2,0,44,1
Private room,NORTH,SANDSTONE VALLEY,0,,2,1,84,1
Private room,CENTRE,BANFF TRAIL,0,,4,1,44,1
Private room,SOUTH,CEDARBRAE,0,,2,1,183,1
Entire home/apt,CENTRE,RICHMOND,3,5,4,2,199,2
Private room,NORTHWEST,HAWKWOOD,11,4,2,1,26,2
Private room,WEST,SPRUCE CLIFF,4,5,2,1,47,1
Entire home/apt,NORTHWEST,BOWNESS,0,,4,2,90,7
Private room,CENTRE,BANKVIEW,0,,2,1,84,1
Entire home/apt,EAST,FOREST LAWN,0,,4,2,72,7
Entire home/apt,NORTHWEST,BOWNESS,0,,4,1,76,2
Private room,SOUTH,HAYSBORO,3,4.5,3,1,36,1
Entire home/apt,NORTHWEST,CHARLESWOOD,18,4.5,12,6,183,4
Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,15,5,2,1,34,2
Private room,SOUTH,SHAWNESSY,0,,2,1,60,1
Private room,NORTHEAST,SUNRIDGE,0,,1,1,28,1
Entire home/apt,CENTRE,BELTLINE,3,5,2,1,79,2
Private room,CENTRE,RENFREW,0,,4,1,64,1
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,42,4.5,6,2,61,1
Entire home/apt,CENTRE,BELTLINE,72,4.5,4,2,108,1
Entire home/apt,CENTRE,MISSION,2,,4,1,64,2
Entire home/apt,CENTRE,BELTLINE,31,5,2,1,71,1
Private room,SOUTHEAST,MAHOGANY,0,,2,1,53,1
Entire home/apt,CENTRE,CLIFF BUNGALOW,1,,4,1,68,1
Private room,CENTRE,HIGHLAND PARK,2,,1,1,28,3
Private room,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,2,,2,1,31,1
Entire home/apt,NORTHWEST,EDGEMONT,0,,8,5,160,2
Entire home/apt,WEST,WEST SPRINGS,2,,5,2,121,3
Private room,WEST,GLAMORGAN,34,4.5,2,1,25,1
Entire home/apt,NORTHWEST,EDGEMONT,0,,2,2,80,1
Private room,SOUTH,BRAESIDE,1,,1,1,18,3
Entire home/apt,NORTHWEST,COLLINGWOOD,3,5,6,3,156,3
Entire home/apt,CENTRE,CLIFF BUNGALOW,12,4.5,2,1,77,3
Entire home/apt,NORTHWEST,CHARLESWOOD,9,5,2,0,64,1
Entire home/apt,CENTRE,BELTLINE,6,5,2,1,160,3
Private room,CENTRE,WEST HILLHURST,1,,2,1,63,1
Entire home/apt,CENTRE,BANKVIEW,3,5,4,1,180,3
Private room,CENTRE,RAMSAY,3,5,2,1,48,1
Entire home/apt,CENTRE,HILLHURST,13,4.5,2,1,52,2
Entire home/apt,CENTRE,DOWNTOWN WEST END,0,,2,1,112,
Private room,CENTRE,MISSION,0,,2,1,160,1
Entire home/apt,CENTRE,BELTLINE,0,,8,4,412,1
Private room,CENTRE,CRESCENT HEIGHTS,35,5,2,1,40,1
Entire home/apt,NORTHWEST,ROCKY RIDGE,2,,2,2,40,1
Private room,NORTHWEST,BOWNESS,2,,1,1,36,1
Entire home/apt,CENTRE,DOWNTOWN WEST END,0,,2,1,143,2
Entire home/apt,SOUTH,CHINOOK PARK,25,5,2,1,76,2
Entire home/apt,CENTRE,SUNNYSIDE,0,,5,3,489,3
Private room,CENTRE,BANFF TRAIL,8,4.5,1,1,36,2
Entire home/apt,NORTHWEST,BRENTWOOD,3,5,4,2,79,1
Entire home/apt,CENTRE,BELTLINE,1,,4,2,359,3
Private room,NORTHEAST,MARLBOROUGH,11,5,2,1,36,1
Entire home/apt,CENTRE,KILLARNEY/GLENGARRY,0,,12,4,224,2
Private room,CENTRE,CLIFF BUNGALOW,9,5,2,1,40,2
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,4,2,96,1
Private room,SOUTH,CANYON MEADOWS,2,,2,1,52,1
Entire home/apt,SOUTH,WILLOW PARK,3,4.5,10,5,127,6
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,15,5,6,2,88,2
Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,2,1,47,1
Private room,CENTRE,BELTLINE,10,4.5,2,1,47,1
Private room,CENTRE,ST. ANDREWS HEIGHTS,17,5,2,1,56,1
Entire home/apt,CENTRE,ST. ANDREWS HEIGHTS,0,,2,2,53,7
Shared room,CENTRE,BELTLINE,4,5,1,1,40,1
Private room,WEST,GLAMORGAN,32,5,2,1,35,1
Private room,SOUTH,SILVERADO,2,,4,1,79,1
Private room,CENTRE,BELTLINE,0,,2,1,160,2
Entire home/apt,NORTH,THORNCLIFFE,3,5,12,4,232,3
Entire home/apt,NORTHWEST,SCENIC ACRES,1,,7,5,200,1
Entire home/apt,CENTRE,BELTLINE,0,,4,2,480,2
Private room,CENTRE,RICHMOND,0,,2,1,30,1
Private room,CENTRE,BELTLINE,1,,2,1,21,1
Private room,CENTRE,SOUTH CALGARY,6,5,2,1,47,1
Entire home/apt,CENTRE,INGLEWOOD,0,,2,1,111,3
Private room,CENTRE,ALTADORE,1,,1,1,36,3
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,8,4.5,4,2,144,4
Entire home/apt,WEST,SIGNAL HILL,0,,4,2,119,1
Entire home/apt,CENTRE,BELTLINE,0,,2,1,62,5
Entire home/apt,CENTRE,BELTLINE,11,5,4,1,68,1
Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,61,2
Entire home/apt,NORTHWEST,ROCKY RIDGE,8,5,4,1,52,1
Entire home/apt,CENTRE,BELTLINE,6,5,2,1,304,1
Entire home/apt,CENTRE,CHINATOWN,121,5,3,0,92,1
Private room,WEST,WEST SPRINGS,2,,2,1,20,2
Entire home/apt,CENTRE,RAMSAY,1,,7,4,280,4
Private room,NORTHEAST,WHITEHORN,3,3,2,1,28,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,27,5,2,0,96,2
Private room,CENTRE,BELTLINE,0,,2,1,80,1
Private room,NORTH,BEDDINGTON HEIGHTS,12,4,2,1,36,1
Private room,CENTRE,BELTLINE,9,5,2,1,56,1
Entire home/apt,NORTHWEST,ROYAL OAK,15,5,2,0,53,3
Private room,CENTRE,SUNNYSIDE,60,5,2,1,57,2
Entire home/apt,CENTRE,BELTLINE,19,4.5,4,2,104,2
Entire home/apt,CENTRE,DOWNTOWN WEST END,0,,2,1,240,1
Entire home/apt,CENTRE,SUNNYSIDE,9,5,4,2,188,2
